City,Country,Latitude,Longitude,Temperature (F),Humidity %,Cloudiness %,Wind Speed (mph)
Cherskiy,RU,68.75,161.3,8.11,91,22,8.12
Bengkulu,ID,-3.8,102.27,84.51,65,100,3.06
Ushuaia,AR,-54.8,-68.3,46.4,75,75,4.32
Inírida,CO,3.87,-67.92,74.14,93,69,1.99
Qaanaaq,GL,77.48,-69.36,-5.01,84,99,3.29
Rapu-Rapu,PH,13.19,124.13,83.39,74,18,10.42
Puerto Ayora,EC,-0.74,-90.35,77.0,80,32,3.04
Kapaa,US,22.08,-159.32,74.7,73,20,11.41
Severo-Kuril'sk,RU,50.68,156.12,35.26,86,100,14.79
Cape Town,ZA,-33.93,18.42,61.95,72,20,19.46
Busselton,AU,-33.65,115.33,75.54,33,100,7.56
Emerald,AU,-23.53,148.17,89.78,38,40,11.41
Banes,CU,20.96,-75.72,77.0,50,40,6.93
Veseloyarsk,RU,51.28,81.11,35.47,91,0,2.51
Geraldton,AU,-28.77,114.6,78.15,41,71,12.75
Okha,RU,53.57,142.95,32.32,95,0,6.78
Atuona,PF,-9.8,-139.03,81.81,80,1,12.59
Port Elizabeth,ZA,-33.92,25.57,62.6,88,20,5.82
Arraial do Cabo,BR,-22.97,-42.03,75.2,94,40,3.36
Tiznit Province,MA,29.58,-9.5,52.34,70,44,2.06
Ancud,CL,-41.87,-73.82,41.0,100,12,2.24
Praia,CV,14.92,-23.51,73.4,64,100,11.41
Bredasdorp,ZA,-34.53,20.04,62.6,88,10,6.93
Galway,IE,53.27,-9.05,42.1,81,75,9.17
Tuatapere,NZ,-46.13,167.68,64.0,66,22,5.01
Pargas,FI,60.31,22.3,32.74,59,14,9.17
Cidreira,BR,-30.18,-50.21,71.67,87,54,14.65
Bolshaya Rechka,RU,51.95,104.74,50.0,29,43,11.18
Leningradskiy,RU,69.38,178.42,12.33,94,93,1.77
Kaitangata,NZ,-46.28,169.85,55.99,82,9,8.01
Husavik,IS,66.04,-17.34,30.2,86,90,13.87
Ribeira Grande,PT,38.52,-28.7,56.89,72,100,33.11
Tuktoyaktuk,CA,69.45,-133.04,8.6,65,20,18.34
Rikitea,PF,-23.12,-134.97,79.16,72,100,6.78
Thompson,CA,55.74,-97.86,10.4,78,75,17.22
Saint Paul Harbor,US,57.79,-152.41,37.4,47,90,12.75
Morondava,MG,-20.28,44.28,81.7,68,0,4.81
Saint-Philippe,RE,-21.36,55.77,78.71,73,75,8.05
San Felipe,VE,10.34,-68.74,71.53,80,55,2.44
Bathsheba,BB,13.22,-59.52,77.0,69,40,11.41
Vaini,TO,-21.2,-175.2,84.2,74,20,6.93
Dingle,PH,11.0,122.67,89.2,46,11,14.72
Fillan,NO,63.61,8.97,35.29,93,75,12.75
Sisimiut,GL,66.94,-53.67,1.38,83,97,7.96
Zarautz,ES,43.28,-2.17,46.44,93,20,3.36
Jamestown,US,42.1,-79.24,40.69,93,90,8.05
Honiara,SB,-9.43,159.95,86.0,79,40,4.7
Huazhou,CN,21.63,110.58,79.32,66,91,8.1
La Palma,US,33.85,-118.05,62.24,55,1,3.36
Camacha,PT,33.08,-16.33,56.44,66,20,6.93
Mataura,NZ,-46.19,168.86,64.0,66,9,5.01
Nanortalik,GL,60.14,-45.24,33.12,83,93,14.14
Verkhnetulomskiy,RU,68.61,31.8,19.4,92,75,6.71
Tucumcari,US,35.17,-103.72,62.78,23,1,16.11
Albany,US,42.6,-73.97,33.49,86,1,1.36
Hermanus,ZA,-34.42,19.23,62.29,81,9,13.4
Wattegama,LK,6.8,81.48,84.2,79,75,16.11
Ponta do Sol,PT,32.67,-17.1,54.68,58,20,12.75
The Valley,AI,18.22,-63.06,75.4,73,20,4.7
Sitka,US,57.05,-135.33,34.75,47,20,9.17
Zaria,NG,11.11,7.72,74.71,58,100,6.11
Kailua,US,21.4,-157.74,75.7,57,40,6.93
Iqaluit,CA,63.75,-68.51,-9.2,57,5,3.89
Mola di Bari,IT,41.06,17.09,37.49,93,100,12.75
Port Augusta,AU,-32.5,137.77,77.27,53,90,8.05
Avarua,CK,-21.21,-159.78,82.4,83,75,4.7
Kaura Namoda,NG,12.59,6.58,79.59,19,75,2.06
Mahébourg,MU,-20.41,57.7,81.54,88,40,4.7
